Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
40b5cce7-3afc-3a7b-a324-d62a48cc18c2,PARKLAND HEALTH AND HOSPITAL SYSTEM,5200 HARRY HINES BLVD,DALLAS,TX,75235,32.794176,-96.765503,2145908000,0.0,95
93f6f73c-9677-3ff9-b4ff-0baa1861de64,BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,TX,75246,32.794176,-96.765503,2148200111,0.0,95
f41e0449-42d3-3453-bec5-c640e309954d,UT SOUTHWESTERN UNIVERSITY HOSPITAL,6201 HARRY HINES BLVD,DALLAS,TX,75390,32.794176,-96.765503,2146335555,0.0,171
b91439ac-cd5d-3250-a739-69e157e77d97,METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,32.794176,-96.765503,2149472879,0.0,192
ffa9098e-a3f8-3c4d-a31a-244fe8c307ed,BAYLOR MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,32.857748,-96.970022,9725798100,0.0,526
bfcad1d6-28fb-306d-9e45-33204b8e300d,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,32.909826,-96.630357,9724875000,0.0,482
dae7ca29-fe09-3bd3-81ad-59f578cbb65d,DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75234,32.794176,-96.765503,9722471000,0.0,6
94f3192b-e7e0-3695-b494-cef3dcfbf99e,BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,TX,75204,32.794176,-96.765503,2144433000,0.0,48
8cbe8b47-7558-32b2-aadc-5700dcd5d67a,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,8200 WALNUT HILL LANE,DALLAS,TX,75231,32.794176,-96.765503,2143456789,0.0,42
9644ee78-f077-3f62-ad8a-000e0491d6ad,METHODIST RICHARDSON MEDICAL CENTER,2831 E PRESIDENT GEORGE BUSH HIGHWAY,RICHARDSON,TX,75082,32.972291,-96.708069,4692041000,0.0,64
e5d64260-9713-3214-9a5a-700f26ba36be,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,32.934107,-97.076533,8174811588,0.0,34
36802793-80e1-3d0c-8fc5-0c14b0b870f3,MEDICAL CITY DALLAS,7777 FOREST LANE,DALLAS,TX,75230,32.794176,-96.765503,9725666222,0.0,43
46835086-4d63-39de-981c-76ccf867e162,MEDICAL CENTER OF PLANO,3901 W 15TH ST,PLANO,TX,75075,33.050769,-96.747944,9725966800,0.0,4
de0effca-356b-30d1-916e-6c7915c3ffb0,BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK,9440 POPPY DR,DALLAS,TX,75218,32.794176,-96.765503,2143246100,0.0,42
f36ca2af-9a03-34f5-b4c6-0c9ff0f99997,DALLAS REGIONAL MEDICAL CENTER,1011 NORTH GALLOWAY AVENUE,MESQUITE,TX,75149,32.763903000000006,-96.592426,2143207000,0.0,341
c2849104-0b8d-3582-8d80-daa30f8d6929,METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND ROAD,DALLAS,TX,75237,32.794176,-96.765503,2149477777,0.0,206
